audit_date,institution,matched_record_number,record_type,doi,doi_url,publication_or_project_slug,title,matched_affiliation_or_local_evidence,metadata_or_project_source_url
2026-07-02,Beijing Jiaotong University,1,doi_publication,10.1007/s10291-020-0973-5,https://doi.org/10.1007/s10291-020-0973-5,2020-sky-visibility-estimation-based-on-gnss-satellite-visibility,Sky Visibility Estimation based on GNSS Satellite Visibility: An Approach of GNSS based Context-Awareness,Beijing Jiaotong University,"https://api.openalex.org/works/doi:10.1007%2Fs10291-020-0973-5?select=id,doi,title,authorships"
2026-07-02,Beijing Satellite Navigation Center,1,doi_publication,10.1016/j.measurement.2026.120370,https://doi.org/10.1016/j.measurement.2026.120370,2026-single-frequency-rtk-positioning-in-the-presence-of-ambiguity,Single-frequency RTK positioning in the presence of ambiguity-like code biases,Beijing Satellite Navigation Center,"https://api.openalex.org/works/doi:10.1016%2Fj.measurement.2026.120370?select=id,doi,title,authorships"
2026-07-02,Chang'an University,1,doi_publication,10.1109/access.2021.3052733,https://doi.org/10.1109/access.2021.3052733,2021-integration-of-gnss-and-ble-technology-with-inertial-sensors,Integration of GNSS and BLE Technology With Inertial Sensors for Real-Time Positioning in Urban Environments,Chang'an University,"https://api.openalex.org/works/doi:10.1109%2Faccess.2021.3052733?select=id,doi,title,authorships"
2026-07-02,Chemnitz University of Technology,1,doi_publication,10.1002/navi.421,https://doi.org/10.1002/navi.421,2021-factor-graph-optimization-for-gnssins-integration-a-compar,Factor Graph Optimization for GNSS/INS Integration: A Comparison with the Extended Kalman Filter,Chemnitz University of Technology,"https://api.openalex.org/works/doi:10.1002%2Fnavi.421?select=id,doi,title,authorships"
2026-07-02,Chinese Academy of Sciences,1,doi_publication,10.1109/access.2020.3006210,https://doi.org/10.1109/access.2020.3006210,2020-multi-agent-collaborative-gnsscamerains-integration-aided,Multi-Agent Collaborative GNSS/Camera/INS Integration Aided by Inter-ranging for Vehicular Navigation in Urban Areas,"Guangzhou Institute of Applied Software Technology, Chinese Academy of Sciences","https://api.openalex.org/works/doi:10.1109%2Faccess.2020.3006210?select=id,doi,title,authorships"
2026-07-02,Chinese Academy of Sciences,2,doi_publication,10.1016/j.measurement.2026.120370,https://doi.org/10.1016/j.measurement.2026.120370,2026-single-frequency-rtk-positioning-in-the-presence-of-ambiguity,Single-frequency RTK positioning in the presence of ambiguity-like code biases,Chinese Academy of Sciences,"https://api.openalex.org/works/doi:10.1016%2Fj.measurement.2026.120370?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,1,doi_publication,10.3390/rs11161851,https://doi.org/10.3390/rs11161851,2019-intelligent-gps-l1-losmultipathnlos-classifiers-based-on-c,"Intelligent GPS L1 LOS/Multipath/NLOS Classifiers Based on Correlator-, RINEX-and NMEA-Level Measurements",Civil Aviation University of China,"https://api.openalex.org/works/doi:10.3390%2Frs11161851?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,2,doi_publication,10.1109/tim.2019.2950578,https://doi.org/10.1109/tim.2019.2950578,2019-vector-tracking-loop-based-gnss-nlos-detection-and-correctio,Vector Tracking Loop-based GNSS NLOS Detection and Correction: Algorithm Design and Performance Analysis,Civil Aviation University of China,"https://api.openalex.org/works/doi:10.1109%2Ftim.2019.2950578?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,3,doi_publication,10.1007/s10291-022-01280-w,https://doi.org/10.1007/s10291-022-01280-w,2022-scalar-and-vector-tracking-loop-simulation-based-on-a-unifor,Scalar and vector tracking loop simulation based on a uniform semi-analytic model and robustness analysis in multipath/NLOS situations,Civil Aviation University of China,"https://api.openalex.org/works/doi:10.1007%2Fs10291-022-01280-w?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,4,doi_publication,10.1016/j.cja.2023.11.013,https://doi.org/10.1016/j.cja.2023.11.013,2023-a-robust-vector-tracking-loop-structure-based-on-potential-b,A robust vector tracking loop structure based on potential bias analysis,Civil Aviation University of China,"https://api.openalex.org/works/doi:10.1016%2Fj.cja.2023.11.013?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,5,doi_publication,10.47852/bonviewjdsis42022961,https://doi.org/10.47852/bonviewjdsis42022961,2024-enhancing-smartphone-based-pedestrian-positioning-using-fac,Enhancing Smartphone-based Pedestrian Positioning: Using Factor Graph Optimization with Indoor/Outdoor Detection for 3DMA GNSS/Visual-Inertial State Estimation,Civil Aviation University of China,"https://api.openalex.org/works/doi:10.47852%2Fbonviewjdsis42022961?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,6,doi_publication,10.1109/tvt.2025.3589556,https://doi.org/10.1109/tvt.2025.3589556,2025-tightly-joined-positioning-and-control-model-for-unmanned-ae,Tightly joined positioning and control model for unmanned aerial vehicles based on factor graph optimization,Civil Aviation University of China,"https://api.openalex.org/works/doi:10.1109%2Ftvt.2025.3589556?select=id,doi,title,authorships"
2026-07-02,Curtin University,1,doi_publication,10.3390/s19183993,https://doi.org/10.3390/s19183993,2019-a-gps-spoofing-generator-using-an-open-sourced-vector-tracki,A GPS Spoofing Generator using an Open Sourced Vector Tracking-Based Receiver,Curtin University,"https://api.openalex.org/works/doi:10.3390%2Fs19183993?select=id,doi,title,authorships"
2026-07-02,German Aerospace Center (DLR),1,doi_publication,10.3389/frobt.2023.1265989,https://doi.org/10.3389/frobt.2023.1265989,2023-editorial-enhanced-gnss-based-localization-solutions-with-ar,Editorial: Enhanced GNSS-based localization solutions with artificial intelligence,Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR),"https://api.openalex.org/works/doi:10.3389%2Ffrobt.2023.1265989?select=id,doi,title,authorships"
2026-07-02,Giustino Fortunato University,1,doi_publication,10.1186/s43020-020-00016-w,https://doi.org/10.1186/s43020-020-00016-w,2020-machine-learning-based-losnlos-classifier-and-robust-estima,Machine Learning based LOS/NLOS Classifier and Robust Estimator for GNSS Shadow Matching,Giustino Fortunato University,"https://api.openalex.org/works/doi:10.1186%2Fs43020-020-00016-w?select=id,doi,title,authorships"
2026-07-02,Harbin Institute of Technology,1,doi_publication,10.1109/tiv.2023.3335356,https://doi.org/10.1109/tiv.2023.3335356,2023-an-anti-spoofing-model-based-on-mvm-and-mccm-for-a-loosely-c,An Anti-spoofing Model based on MVM and MCCM for a Loosely-coupled GNSS/INS/LiDAR Kalman Filter,Harbin Institute of Technology,"https://api.openalex.org/works/doi:10.1109%2Ftiv.2023.3335356?select=id,doi,title,authorships"
2026-07-02,Harbin Institute of Technology,2,doi_publication,10.1109/jsen.2023.3312911,https://doi.org/10.1109/jsen.2023.3312911,2023-lidar-based-ndt-matching-performance-evaluation-for-position,LiDAR-based NDT Matching Performance Evaluation for Positioning in Adverse Weather Conditions,Harbin Institute of Technology,"https://api.openalex.org/works/doi:10.1109%2Fjsen.2023.3312911?select=id,doi,title,authorships"
2026-07-02,Harbin Institute of Technology,3,doi_publication,10.1109/tvt.2023.3279831,https://doi.org/10.1109/tvt.2023.3279831,2023-selection-of-areas-for-effective-gnss-spoofing-attacks-to-a,Selection of Areas for Effective GNSS Spoofing Attacks to a Vehicle-mounted MSF System based on Scenario Classification Models,Harbin Institute of Technology,"https://api.openalex.org/works/doi:10.1109%2Ftvt.2023.3279831?select=id,doi,title,authorships"
2026-07-02,Hiroshima University,1,doi_publication,10.47852/bonviewjdsis42022961,https://doi.org/10.47852/bonviewjdsis42022961,2024-enhancing-smartphone-based-pedestrian-positioning-using-fac,Enhancing Smartphone-based Pedestrian Positioning: Using Factor Graph Optimization with Indoor/Outdoor Detection for 3DMA GNSS/Visual-Inertial State Estimation,Hiroshima University,"https://api.openalex.org/works/doi:10.47852%2Fbonviewjdsis42022961?select=id,doi,title,authorships"
2026-07-02,Hohai University,1,doi_publication,10.1109/tim.2022.3184357,https://doi.org/10.1109/tim.2022.3184357,2022-data-denoising-based-on-hadamard-matrix-transformation-and-r,Data Denoising Based on Hadamard Matrix Transformation and Rayleigh Quotient Maximization: Application to GNSS Signal Classification,Hohai University,"https://api.openalex.org/works/doi:10.1109%2Ftim.2022.3184357?select=id,doi,title,authorships"
2026-07-02,Hohai University,2,doi_publication,10.1016/j.measurement.2023.112974,https://doi.org/10.1016/j.measurement.2023.112974,2023-a-post-correlation-graphical-way-for-continuous-gnss-spoofin,A post-correlation graphical way for continuous GNSS spoofing detection,Hohai University,"https://api.openalex.org/works/doi:10.1016%2Fj.measurement.2023.112974?select=id,doi,title,authorships"
2026-07-02,Hohai University,3,doi_publication,10.3390/rs15041114,https://doi.org/10.3390/rs15041114,2023-high-accuracy-absolute-position-aided-code-phase-tracking-ba,High-Accuracy Absolute-Position-Aided Code Phase Tracking Based on RTK/INS Deep Integration in Challenging Static Scenarios,Hohai University,"https://api.openalex.org/works/doi:10.3390%2Frs15041114?select=id,doi,title,authorships"
2026-07-02,Hohai University,4,doi_publication,10.1007/s10291-023-01454-0,https://doi.org/10.1007/s10291-023-01454-0,2023-resilient-gnss-real-time-kinematic-precise-positioning-with,Resilient GNSS real-time kinematic precise positioning with inequality and equality constraints,Hohai University,"https://api.openalex.org/works/doi:10.1007%2Fs10291-023-01454-0?select=id,doi,title,authorships"
2026-07-02,Hong Kong University of Science and Technology,1,doi_publication,10.1109/ipin62893.2024.10786175,https://doi.org/10.1109/ipin62893.2024.10786175,2024-an-adaptive-weighted-gnssvinswi-fi-rtt-based-seamless,An Adaptive Weighted GNSS/VINS/Wi-Fi RTT-based Seamless Positioning System for Smartphone,Hong Kong University of Science and Technology,"https://api.openalex.org/works/doi:10.1109%2Fipin62893.2024.10786175?select=id,doi,title,authorships"
2026-07-02,Huawei Technologies,1,doi_publication,10.3390/app12105193,https://doi.org/10.3390/app12105193,2022-gnss-rtk-adaptively-integrated-with-lidarimu-odometry-for-c,GNSS-RTK Adaptively Integrated with LiDAR/IMU Odometry for Continuously Global Positioning in Urban Canyons,Huawei Technologies (China),"https://api.openalex.org/works/doi:10.3390%2Fapp12105193?select=id,doi,title,authorships"
2026-07-02,Huawei Technologies,2,doi_publication,10.1109/tim.2025.3629836,https://doi.org/10.1109/tim.2025.3629836,2025-3d-lidar-aided-gnss-nlos-mitigation-for-reliable-gnss-rtk,3-D LiDAR-Aided GNSS NLOS Mitigation for Reliable GNSS-RTK Positioning in Urban Canyons,Huawei Technologies (China),"https://api.openalex.org/works/doi:10.1109%2Ftim.2025.3629836?select=id,doi,title,authorships"
2026-07-02,Imperial College London,1,doi_publication,10.1016/j.asoc.2019.105942,https://doi.org/10.1016/j.asoc.2019.105942,2019-a-gradient-boosting-decision-tree-based-gps-signal-reception,A Gradient Boosting Decision Tree Based GPS Signal Reception Classification Algorithm,Imperial College London,"https://api.openalex.org/works/doi:10.1016%2Fj.asoc.2019.105942?select=id,doi,title,authorships"
2026-07-02,Imperial College London,2,doi_publication,10.1017/s0373463318000899,https://doi.org/10.1017/s0373463318000899,2019-gps-signal-reception-classification-using-adaptive-neuro-fuz,GPS Signal Reception Classification Using Adaptive Neuro-Fuzzy Inference System,Imperial College London,"https://api.openalex.org/works/doi:10.1017%2Fs0373463318000899?select=id,doi,title,authorships"
2026-07-02,Imperial College London,3,doi_publication,10.1109/jiot.2020.3037074,https://doi.org/10.1109/jiot.2020.3037074,2020-improving-gps-code-phase-positioning-accuracy-in-urban-envir,Improving GPS Code Phase Positioning Accuracy in Urban Environments Using Machine Learning,Imperial College London,"https://api.openalex.org/works/doi:10.1109%2Fjiot.2020.3037074?select=id,doi,title,authorships"
2026-07-02,Imperial College London,4,doi_publication,10.1002/navi.408,https://doi.org/10.1002/navi.408,2020-using-dual-polarization-gps-antenna-with-optimized-adaptive,Using Dual-Polarization GPS Antenna with Optimized Adaptive Neuro-Fuzzy Inference System to Improve Single Point Positioning Accuracy in Urban Canyons,Imperial College London,"https://api.openalex.org/works/doi:10.1002%2Fnavi.408?select=id,doi,title,authorships"
2026-07-02,Institut für Automation und Kommunikation,1,doi_publication,10.3389/frobt.2023.1265989,https://doi.org/10.3389/frobt.2023.1265989,2023-editorial-enhanced-gnss-based-localization-solutions-with-ar,Editorial: Enhanced GNSS-based localization solutions with artificial intelligence,Institut für Automation und Kommunikation,"https://api.openalex.org/works/doi:10.3389%2Ffrobt.2023.1265989?select=id,doi,title,authorships"
2026-07-02,McGill University,1,doi_publication,10.3390/rs16010181,https://doi.org/10.3390/rs16010181,2023-intelligent-environment-adaptive-gnssins-integrated-positio,Intelligent Environment-Adaptive GNSS/INS Integrated Positioning with Factor Graph Optimization,McGill University,"https://api.openalex.org/works/doi:10.3390%2Frs16010181?select=id,doi,title,authorships"
2026-07-02,McMaster University,1,doi_publication,10.1109/lra.2026.3693943,https://doi.org/10.1109/lra.2026.3693943,2026-certifiable-alignment-of-gnss-and-local-frames-via-lagrangian,Certifiable Alignment of GNSS and Local Frames via Lagrangian Duality,McMaster University,"https://api.openalex.org/works/doi:10.1109%2Flra.2026.3693943?select=id,doi,title,authorships"
2026-07-02,NYU / NYU Langone Health,1,doi_publication,10.3390/s26031058,https://doi.org/10.3390/s26031058,2026-three-dimensional-mapping-aided-global-navigation-satellite,Three-Dimensional Mapping-Aided Global Navigation Satellite System in Global Navigation Satellite System-Accessible Indoor Areas,NYU Langone Health,"https://api.openalex.org/works/doi:10.3390%2Fs26031058?select=id,doi,title,authorships"
2026-07-02,Nanjing University of Aeronautics and Astronautics,1,doi_publication,10.1016/j.asoc.2019.105942,https://doi.org/10.1016/j.asoc.2019.105942,2019-a-gradient-boosting-decision-tree-based-gps-signal-reception,A Gradient Boosting Decision Tree Based GPS Signal Reception Classification Algorithm,Nanjing University of Aeronautics and Astronautics,"https://api.openalex.org/works/doi:10.1016%2Fj.asoc.2019.105942?select=id,doi,title,authorships"
2026-07-02,Nanjing University of Aeronautics and Astronautics,2,doi_publication,10.1017/s0373463318000899,https://doi.org/10.1017/s0373463318000899,2019-gps-signal-reception-classification-using-adaptive-neuro-fuz,GPS Signal Reception Classification Using Adaptive Neuro-Fuzzy Inference System,Nanjing University of Aeronautics and Astronautics,"https://api.openalex.org/works/doi:10.1017%2Fs0373463318000899?select=id,doi,title,authorships"
2026-07-02,Nanjing University of Aeronautics and Astronautics,3,doi_publication,10.1109/jiot.2020.3037074,https://doi.org/10.1109/jiot.2020.3037074,2020-improving-gps-code-phase-positioning-accuracy-in-urban-envir,Improving GPS Code Phase Positioning Accuracy in Urban Environments Using Machine Learning,Nanjing University of Aeronautics and Astronautics,"https://api.openalex.org/works/doi:10.1109%2Fjiot.2020.3037074?select=id,doi,title,authorships"
2026-07-02,Nanjing University of Aeronautics and Astronautics,4,doi_publication,10.1002/navi.408,https://doi.org/10.1002/navi.408,2020-using-dual-polarization-gps-antenna-with-optimized-adaptive,Using Dual-Polarization GPS Antenna with Optimized Adaptive Neuro-Fuzzy Inference System to Improve Single Point Positioning Accuracy in Urban Canyons,Nanjing University of Aeronautics and Astronautics,"https://api.openalex.org/works/doi:10.1002%2Fnavi.408?select=id,doi,title,authorships"
2026-07-02,Nanjing University of Aeronautics and Astronautics,5,doi_publication,10.1109/tim.2026.3682809,https://doi.org/10.1109/tim.2026.3682809,2026-credible-uncertainty-quantification-under-noise-and-system,Credible Uncertainty Quantification Under Noise and System Model Mismatch in Localization Systems,Nanjing University of Aeronautics and Astronautics,"https://api.openalex.org/works/doi:10.1109%2Ftim.2026.3682809?select=id,doi,title,authorships"
2026-07-02,Nanjing University of Science and Technology,1,doi_publication,10.1109/tvt.2021.3069212,https://doi.org/10.1109/tvt.2021.3069212,2021-3d-point-clouds-data-super-resolution-aided-lidar-odometry-f,3D Point Clouds Data Super Resolution Aided LiDAR Odometry for Vehicular Positioning in Urban Canyons,Nanjing University of Science and Technology,"https://api.openalex.org/works/doi:10.1109%2Ftvt.2021.3069212?select=id,doi,title,authorships"
2026-07-02,National Cheng Kung University,1,doi_publication,10.3390/s100402957,https://doi.org/10.3390/s100402957,2010-development-of-an-indoor-location-based-service-test-bed-and,Development of an Indoor Location Based Service Test Bed and Geographic Information System with a WSN,National Cheng Kung University,"https://api.openalex.org/works/doi:10.3390%2Fs100402957?select=id,doi,title,authorships"
2026-07-02,National Cheng Kung University,2,doi_publication,10.1007/s10291-014-0384-6,https://doi.org/10.1007/s10291-014-0384-6,2014-multipath-mitigation-and-nlos-detection-using-vector-trackin,Multipath mitigation and NLOS detection using vector tracking in urban,National Cheng Kung University,"https://api.openalex.org/works/doi:10.1007%2Fs10291-014-0384-6?select=id,doi,title,authorships"
2026-07-02,National Cheng Kung University,3,doi_publication,10.1109/jiot.2020.3037074,https://doi.org/10.1109/jiot.2020.3037074,2020-improving-gps-code-phase-positioning-accuracy-in-urban-envir,Improving GPS Code Phase Positioning Accuracy in Urban Environments Using Machine Learning,National Cheng Kung University,"https://api.openalex.org/works/doi:10.1109%2Fjiot.2020.3037074?select=id,doi,title,authorships"
2026-07-02,National Cheng Kung University,4,doi_publication,10.3390/rs12162550,https://doi.org/10.3390/rs12162550,2020-the-design-a-tdcp-smoothed-gnssodometer-integration-scheme,The Design a TDCP-Smoothed GNSS/Odometer Integration Scheme with Vehicular-Motion Constraint and Robust Regression,National Cheng Kung University,"https://api.openalex.org/works/doi:10.3390%2Frs12162550?select=id,doi,title,authorships"
2026-07-02,National Cheng Kung University,5,doi_publication,10.1007/s42401-026-00457-2,https://doi.org/10.1007/s42401-026-00457-2,2026-jackknife-araim-efficient-gnss-integrity-monitoring-for,Jackknife ARAIM: Efficient GNSS Integrity Monitoring for Simultaneous Faults under Non-Gaussian Errors,National Cheng Kung University,"https://api.openalex.org/works/doi:10.1007%2Fs42401-026-00457-2?select=id,doi,title,authorships"
2026-07-02,National Chengchi University,1,doi_publication,10.3390/rs12162550,https://doi.org/10.3390/rs12162550,2020-the-design-a-tdcp-smoothed-gnssodometer-integration-scheme,The Design a TDCP-Smoothed GNSS/Odometer Integration Scheme with Vehicular-Motion Constraint and Robust Regression,National Chengchi University,"https://api.openalex.org/works/doi:10.3390%2Frs12162550?select=id,doi,title,authorships"
2026-07-02,Parthenope University of Naples,1,doi_publication,10.1186/s43020-020-00016-w,https://doi.org/10.1186/s43020-020-00016-w,2020-machine-learning-based-losnlos-classifier-and-robust-estima,Machine Learning based LOS/NLOS Classifier and Robust Estimator for GNSS Shadow Matching,Parthenope University of Naples,"https://api.openalex.org/works/doi:10.1186%2Fs43020-020-00016-w?select=id,doi,title,authorships"
2026-07-02,Peng Cheng Laboratory,1,doi_publication,10.1109/tiv.2024.3397879,https://doi.org/10.1109/tiv.2024.3397879,2024-a-survey-on-cooperative-positioning-using-gnss-measurements,A Survey on Cooperative Positioning Using GNSS Measurements,Peng Cheng Laboratory,"https://api.openalex.org/works/doi:10.1109%2Ftiv.2024.3397879?select=id,doi,title,authorships"
2026-07-02,Ritsumeikan University,1,doi_publication,10.3390/s23063096,https://doi.org/10.3390/s23063096,2023-cyclist-orientation-estimation-using-lidar-data,Cyclist Orientation Estimation Using LiDAR Data,Ritsumeikan University,"https://api.openalex.org/works/doi:10.3390%2Fs23063096?select=id,doi,title,authorships"
2026-07-02,Roma Tre University,1,doi_publication,10.1109/tiv.2024.3450198,https://doi.org/10.1109/tiv.2024.3450198,2024-subspace-based-adaptive-gmm-error-modeling-for-fault-aware-p,Subspace-based Adaptive GMM Error Modeling for Fault-Aware Pseudorange-based Positioning in Urban Canyons,Roma Tre University,"https://api.openalex.org/works/doi:10.1109%2Ftiv.2024.3450198?select=id,doi,title,authorships"
2026-07-02,Shandong University,1,doi_publication,10.1016/j.asoc.2019.105942,https://doi.org/10.1016/j.asoc.2019.105942,2019-a-gradient-boosting-decision-tree-based-gps-signal-reception,A Gradient Boosting Decision Tree Based GPS Signal Reception Classification Algorithm,Shandong University,"https://api.openalex.org/works/doi:10.1016%2Fj.asoc.2019.105942?select=id,doi,title,authorships"
2026-07-02,Shandong University,2,doi_publication,10.1109/tiv.2023.3338141,https://doi.org/10.1109/tiv.2023.3338141,2023-dynamic-object-aware-lidar-odometry-aided-by-joint-weighting,Dynamic Object-aware LiDAR Odometry Aided by Joint Weightings Estimation in Urban Areas,Shandong University,"https://api.openalex.org/works/doi:10.1109%2Ftiv.2023.3338141?select=id,doi,title,authorships"
2026-07-02,Shanghai Jiao Tong University,1,doi_publication,10.3390/rs15041114,https://doi.org/10.3390/rs15041114,2023-high-accuracy-absolute-position-aided-code-phase-tracking-ba,High-Accuracy Absolute-Position-Aided Code Phase Tracking Based on RTK/INS Deep Integration in Challenging Static Scenarios,Shanghai Jiao Tong University,"https://api.openalex.org/works/doi:10.3390%2Frs15041114?select=id,doi,title,authorships"
2026-07-02,Shanghai Jiao Tong University,2,doi_publication,10.1109/tim.2026.3682809,https://doi.org/10.1109/tim.2026.3682809,2026-credible-uncertainty-quantification-under-noise-and-system,Credible Uncertainty Quantification Under Noise and System Model Mismatch in Localization Systems,Shanghai Jiao Tong University,"https://api.openalex.org/works/doi:10.1109%2Ftim.2026.3682809?select=id,doi,title,authorships"
2026-07-02,Shenzhen Polytechnic University,1,doi_publication,10.1109/access.2021.3052733,https://doi.org/10.1109/access.2021.3052733,2021-integration-of-gnss-and-ble-technology-with-inertial-sensors,Integration of GNSS and BLE Technology With Inertial Sensors for Real-Time Positioning in Urban Environments,Shenzhen Polytechnic University,"https://api.openalex.org/works/doi:10.1109%2Faccess.2021.3052733?select=id,doi,title,authorships"
